operator,material,drillSize,drillType,transmission,sampleRate,dataFile
tasnim,kunststoff-pc,5.0,universal,2,96000,2023_10_23_12_53_07_96000Hz.csv
tasnim,kunststoff-pc,5.0,universal,2,96000,2023_10_23_12_54_15_96000Hz.csv
valle,holz-spanplatte,5.0,universal,2,96000,2023_10_23_12_54_45_96000Hz.csv
tasnim,holz-spanplatte,5.0,universal,2,96000,2023_10_23_12_55_30_96000Hz.csv
tasnim,holz-spanplatte,5.0,universal,2,96000,2023_10_23_12_56_08_96000Hz.csv
hendrik,holz-spanplatte,5.0,universal,2,96000,2023_10_23_12_56_36_96000Hz.csv
hendrik,holz-spanplatte,5.0,universal,2,96000,2023_10_23_12_56_55_96000Hz.csv
hendrik,holz-spanplatte,5.0,universal,2,96000,2023_10_23_12_57_12_96000Hz.csv
ella,holz-spanplatte,5.0,universal,2,96000,2023_10_23_12_58_27_96000Hz.csv
valle,holz-spanplatte,5.0,universal,2,96000,2023_10_23_12_59_11_96000Hz.csv
valle,holz-spanplatte,5.0,universal,2,96000,2023_10_23_12_59_47_96000Hz.csv
ella,holz-spanplatte,5.0,universal,2,96000,2023_10_23_13_00_19_96000Hz.csv
ella,holz-spanplatte,5.0,universal,2,96000,2023_10_23_13_00_53_96000Hz.csv
valle,holz-spanplatte,5.0,universal,2,96000,2023_10_23_13_01_27_96000Hz.csv
tasnim,kunststoff-pc,5.0,universal,2,96000,2023_10_23_13_02_03_96000Hz.csv
ella,kunststoff-pc,5.0,universal,2,96000,2023_10_23_13_03_37_96000Hz.csv
hendrik,kunststoff-pc,5.0,universal,2,96000,2023_10_23_13_03_59_96000Hz.csv
hendrik,holz-spanplatte,5.0,universal,2,96000,2023_10_23_13_04_13_96000Hz.csv
valle,kunststoff-pc,5.0,universal,2,96000,2023_10_23_13_04_35_96000Hz.csv
ella,kunststoff-pc,5.0,universal,2,96000,2023_10_23_13_05_46_96000Hz.csv
valle,kunststoff-pc,5.0,universal,2,96000,2023_10_23_13_06_09_96000Hz.csv
tasnim,holz-spanplatte,5.0,universal,2,96000,2023_10_23_13_06_46_96000Hz.csv
hendrik,holz-spanplatte,5.0,universal,2,96000,2023_10_23_13_07_08_96000Hz.csv
hendrik,kunststoff-pc,5.0,universal,2,96000,2023_10_23_13_07_22_96000Hz.csv
tasnim,holz-spanplatte,5.0,universal,2,96000,2023_10_23_13_08_06_96000Hz.csv
valle,kunststoff-pc,5.0,universal,2,96000,2023_10_23_13_08_34_96000Hz.csv
hendrik,kunststoff-pc,5.0,universal,2,96000,2023_10_23_13_09_12_96000Hz.csv
ella,kunststoff-pc,5.0,universal,2,96000,2023_10_23_13_09_39_96000Hz.csv
hendrik,kunststoff-pc,5.0,universal,2,96000,2023_10_23_13_10_18_96000Hz.csv
ella,holz-spanplatte,5.0,universal,2,96000,2023_10_23_13_11_02_96000Hz.csv
ella,kunststoff-pc,5.0,universal,2,96000,2023_10_23_13_11_28_96000Hz.csv
tasnim,kunststoff-pc,5.0,universal,2,96000,2023_10_23_13_11_59_96000Hz.csv
valle,kunststoff-pc,5.0,universal,2,96000,2023_10_23_13_12_27_96000Hz.csv
valle,holz-spanplatte,5.0,universal,2,96000,2023_10_23_13_12_50_96000Hz.csv
ella,kunststoff-pc,5.0,universal,2,96000,2023_10_23_13_13_26_96000Hz.csv
ella,holz-spanplatte,5.0,universal,2,96000,2023_10_23_13_13_45_96000Hz.csv
hendrik,kunststoff-pc,5.0,universal,2,96000,2023_10_23_13_14_12_96000Hz.csv
tasnim,holz-spanplatte,5.0,universal,2,96000,2023_10_23_13_14_37_96000Hz.csv
valle,kunststoff-pc,5.0,universal,2,96000,2023_10_23_13_14_59_96000Hz.csv
tasnim,kunststoff-pc,5.0,universal,2,96000,2023_10_23_13_15_24_96000Hz.csv
